Slope,Elevation,Aspect,PL,PR,V,TWI,SPI,TRI
27.5801,2723.96,40.92,2.32845,1.75345,1,2.44119,3.29001,0.491153
43.5932,3437.22,30.6813,-0.120311,-3.72531,1,0.742275,2.67555,0.50985
24.7914,3160.62,352.499,-0.554869,4.28513,1,6.30584,119.96,0.475661
34.9287,2669.9,96.2305,-7.36345,-0.0384461,1,2.30494,5.59722,0.506026
33.928,2729.34,141.334,8.75344,-11.5241,1,0.396483,0.758789,0.495548
36.026,2851.48,114.312,4.69749,-3.65001,1,1.7048,3.39072,0.367725
27.5764,2836.07,105.422,4.00708,6.93958,1,1.34273,1.09646,0.498001
28.0535,2536.97,105.812,-14.7379,13.8796,1,4.15577,19.1017,0.533437
25.1466,2649,125.44,0.101543,-0.158457,1,3.15414,5.31464,0.517578
34.6912,2620.32,97.0429,-3.37784,10.4147,1,3.20109,13.4244,0.505112
25.9251,2741.28,137.224,-1.50902,-1.68652,1,4.71029,27.1787,0.529909
30.1876,2690.55,160.503,1.17516,7.22266,1,5.91704,135.302,0.520178
21.7338,2744.13,119.124,4.6954,-2.2871,1,0.919718,0.401175,0.564934
20.8109,2698.35,102.342,0.0902654,1.26527,1,1.66051,0.761064,0.470003
38.0195,3080.11,120.337,-14.3972,9.03525,1,3.24185,18.9146,0.49729
40.8409,2707.87,125.289,-11.6869,5.45063,1,0.145693,1.11633,0.401579
52.8835,2876.92,98.1358,8.39361,-6.10889,1,2.02386,37.404,0.586367
37.9062,1900.99,236.743,3.88839,-1.69411,1,1.3488,2.81921,0.517216
49.7134,1489.12,156.253,-29.8431,35.8969,1,1.44416,11.5506,0.479433
29.8377,2085.29,49.0676,2.35133,0.423833,1,2.34762,3.69207,0.496523
29.9464,1933.35,146.6,2.25431,-5.62819,1,3.25952,9.28138,0.510004
44.5111,1496.23,115.826,-9.66632,-0.18132,1,2.96151,27.163,0.473052
46.0545,1474.86,162.659,4.73795,0.561698,1,-0.0368165,1.61345,0.505345
38.6096,1715.16,74.813,-4.34739,1.20636,1,0.918089,1.95583,0.458789
31.5613,1783.83,139.663,11.5662,-11.0175,1,1.87361,2.6872,0.461673
30.7546,1753.12,145.873,9.51174,-20.437,1,2.59856,5.1579,0.492309
27.2818,1519.95,97.7175,-10.399,-3.42521,1,5.37169,59.9384,0.462475
38.784,1607.98,159.264,2.58172,-7.90953,1,4.20769,53.3381,0.479878
23.1988,2046.81,132.388,-1.86469,2.29781,1,1.9459,1.30559,0.585845
32.4989,1541.82,110.275,-5.5367,0.578304,1,5.64388,126.866,0.494202
38.3918,1668.36,115.277,-0.45859,-4.73109,1,0.232742,0.965852,0.529517
41.1939,1817.75,134.96,-14.7919,19.9968,1,2.43584,11.4111,0.51007
45.174,1728.31,152.988,-0.352226,-2.06098,1,4.63832,156.363,0.515414
27.0462,1733.63,145.234,8.89875,-7.225,1,1.36543,1.06693,0.446409
38.1651,2006.71,143.918,-1.09131,3.90494,1,2.80583,12.3958,0.480945
33.3062,1941.53,113.649,-3.11368,2.60007,1,2.98497,9.55137,0.519768
29.8606,1725.73,84.176,-3.70037,1.11713,1,2.50084,4.31243,0.44965
36.4882,1803.86,152.603,6.53882,-4.57369,1,0.301589,0.869093,0.477503
32.8689,1535.79,201.318,0.571644,6.69164,1,1.12985,1.43668,0.486081
35.4259,1737.48,101.922,10.6348,-5.14395,1,6.17248,279.937,0.483881
26.8161,1752.41,74.3717,0.205961,0.908461,1,2.29167,2.63582,0.510312
28.0101,1783.72,70.7893,1.58585,0.177097,1,1.32438,1.12113,0.386823
25.649,1670.37,257.745,7.74327,1.75827,1,0.733614,0.496088,0.505564
32.2339,1579.28,136.711,7.67679,-3.52071,1,0.461149,0.695298,0.489843
32.4282,1642.45,147.033,-3.57313,-3.98563,1,2.39955,4.91581,0.468136
37.1016,1538.84,217.559,5.64664,-4.90211,1,0.279267,0.898689,0.524057
33.7872,1920.7,92.3416,-2.30032,1.96218,1,3.23501,12.8054,0.522843
44.2293,1932.59,66.898,-8.53375,14.9212,1,3.07143,29.405,0.417757
33.2671,1914.27,92.8848,-3.91956,-0.165806,1,2.61873,6.59915,0.533267
41.4213,1885.91,80.766,-5.79837,7.52913,1,4.23612,70.6115,0.524779
33.7321,1868.67,131.731,0.642798,2.5278,1,0.403874,0.751106,0.503731
33.7688,1907.39,177.465,2.25514,-3.18361,1,3.04155,10.5355,0.49021
40.2589,1921.92,74.1807,3.32431,4.55931,1,0.166257,1.07735,0.524497
38.8149,1876.46,126.031,-13.7479,24.6583,1,2.00936,5.93699,0.403526
32.0417,1842.82,141.805,1.86253,-5.41122,1,1.56721,2.06548,0.567904
27.5365,1826.19,166.605,-2.96247,5.33253,1,0.651283,0.547107,0.495531
32.8427,1804.48,113.162,15.8778,-12.7847,1,1.53632,2.15212,0.468842
29.744,1788.16,120.164,-4.38901,3.74474,1,2.35141,3.67449,0.534643
-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,0.496836
-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,0.482733
-9999,-9999,-9999,-9999,-9999,1,-9999,-9999,0.492206
33.2229,1890.42,142.582,-1.29672,1.02828,1,2.98814,9.51037,0.520745
36.1686,1976.21,147.34,-0.931603,8.66715,1,0.313276,0.854208,0.530822
30.7057,2116.68,83.6729,3.40807,3.78307,1,1.90735,2.57253,0.51237
38.5738,1975.69,113.663,-9.47394,12.9673,1,2.17213,6.83142,0.42282
34.1323,2115.34,57.4503,-5.2719,9.1681,1,5.39943,115.036,0.445969
26.4921,2117.33,124.887,-2.68224,4.64026,1,1.38948,1.03678,0.527487
36.0209,2082.73,81.4986,-11.8463,12.4187,1,5.2885,122.033,0.539463
38.8105,2036.86,106.669,-7.93192,12.9206,1,5.89108,287.872,0.459961
39.1597,2002.56,44.9815,1.18891,5.10766,1,0.205293,1.00943,0.496819
38.5046,2030.99,61.9375,-9.36371,7.45504,1,6.62896,585.187,0.424105
28.5197,4335.24,128.181,1.53281,-0.977185,1,3.31796,8.63052,0.490797
28.2344,4313.42,135.893,4.25059,3.08559,1,2.70126,4.53632,0.492376
35.0329,4184.75,74.023,3.56578,-5.32922,1,0.355155,0.804015,0.484515
37.4395,4092.96,139.796,1.52801,-7.07699,1,3.21147,17.3965,0.530753
24.1562,4069.14,134.255,2.38308,7.86058,1,1.495,0.916694,0.411331
30.0347,4083.28,118.899,-1.42815,-8.76065,1,4.04442,20.5109,0.53067
30.4888,4054.61,121.123,5.14949,-2.27801,1,2.13914,3.18036,0.490518
33.1335,4023.78,132.783,3.55867,-8.22633,1,3.56209,16.7486,0.492381
29.9098,4050.01,25.3496,1.83739,-8.65011,1,0.552945,0.617606,0.504135
31.2364,4294.26,77.5661,-9.95134,10.5437,1,2.69729,5.94682,0.529377
27.7258,4227.56,55.2593,-1.39233,0.502675,1,0.643242,0.552452,0.509954
30.8028,4072.03,83.3677,-5.53894,4.75356,1,6.6889,309.588,0.464687
26.6985,3931.67,341.885,-2.31696,7.80554,1,4.05463,15.195,0.489885
31.4932,4350.58,139.481,8.76035,-15.3647,1,0.489984,0.669465,0.526047
31.5929,4390.33,101.899,-5.61467,3.19533,1,6.27909,220.705,0.518355
30.5449,4233.17,124.424,3.47324,-7.42676,1,7.30852,561.981,0.530828
27.5883,4253.42,148.97,-2.40251,13.1975,1,6.02435,118.491,0.488507
32.724,4246.83,149.752,-6.7836,3.1114,1,1.82856,2.85202,0.513693
20.2093,4272.07,143.344,0.603174,-0.426826,1,5.24786,25.7161,0.535132
25.8645,4234.86,118.112,-6.72673,-1.28173,1,2.11029,2.00688,0.464727
34.5764,4253.27,144.694,6.31752,0.582517,1,1.75845,3.1397,0.513044
25.8307,4253.3,150.539,5.15195,-6.40805,1,0.725504,0.500833,0.456719
21.0204,4217.48,159.246,3.79567,-2.07933,1,5.59113,39.6722,0.463209
27.0337,4216.33,153.887,3.3234,0.0833998,1,2.87004,4.79811,0.503202
32.2971,3667.05,135.55,-2.73948,-0.806981,1,4.30885,32.785,0.537427
26.5012,3537.36,151.333,-19.3677,0.202321,1,3.40399,7.77948,0.50381
33.2452,3657.58,120.816,11.538,-13.7745,1,2.98729,9.52131,0.558323
26.6008,4223.28,172.456,0.214391,-1.11061,1,7.32491,396.201,0.516346
33.9471,3212.99,147.341,-1.52687,2.47563,1,4.85011,65.3206,0.50508
27.8597,3082.77,169.388,-2.44151,2.88099,1,1.73619,1.66878,0.430172
19.1443,3316.75,113.295,-0.588038,-0.348038,1,5.20114,21.7106,0.508961
44.3672,3362.6,92.299,3.00596,7.60346,1,5.84514,478.093,0.464641
21.1706,3343.34,121.364,5.62541,-2.50959,1,8.51335,749.436,0.445048
30.7481,3678.31,119.735,-4.74725,-2.85725,1,1.61799,1.93357,0.449027
22.8233,3437.62,99.2553,-2.93356,2.38644,1,5.6017,48.6005,0.510962
22.7484,3416.27,37.3722,0.687562,-0.204938,1,1.56231,0.849125,0.443463
43.4109,3516.61,177.732,4.54743,-13.8976,1,6.14454,582.474,0.531787
31.7768,3555.48,119.297,-5.76879,0.46621,1,2.9638,8.15077,0.489526
34.1842,3562.35,152.996,6.77264,-10.7774,1,1.07999,1.53797,0.496505
21.9042,3416.47,95.929,2.72141,-3.87359,1,0.911098,0.405051,0.540568
33.7756,3121.07,160.208,-3.73318,1.11932,1,8.34744,2124.4,0.446736
34.5146,3210.39,336.279,-12.8081,0.781871,1,0.374466,0.782387,0.538607
41.2676,3209.04,10.4771,-1.88303,17.0345,1,0.130655,1.14641,0.340996
25.3752,3280.7,185.377,-4.29475,6.61525,1,6.55705,163.328,0.506154
28.7369,3459.99,72.0233,0.8847,1.1522,1,2.39265,3.49071,0.540688
38.6858,3226.45,54.1831,-6.13359,8.57641,1,0.91536,1.96439,0.502076
21.9173,3330.96,191.097,4.81948,1.07448,1,0.91044,0.405349,0.452462
16.3878,3498.64,266.2,-0.256955,-0.196955,1,5.96009,32.8867,0.498701
27.711,3036.94,104.081,-3.21233,0.165167,1,6.71461,239.03,0.517264
33.3128,2951.46,300.952,0.701886,-14.1106,1,0.41977,0.734973,0.697326
37.7029,3053.12,170.023,-11.3847,0.025327,1,4.46221,62.2504,0.55876
31.0414,2960.36,176.722,3.44865,-1.05135,1,1.2009,1.30844,0.453152
33.0187,2978.41,81.2764,-12.1894,-15.9644,1,5.45486,110.033,0.463547
36.471,2999.5,98.6095,-0.958001,0.474499,1,0.995362,1.73657,0.48593
48.0732,2985.77,102.2,-3.0963,13.5262,1,0.585667,3.87097,0.334137
